Food_Code,Display_Name,Portion_Default,Portion_Amount,Portion_Display_Name,Factor,Increment,Multiplier,Grains,Whole_Grains,Vegetables,Orange_Vegetables,Drkgreen_Vegetables,Starchy_vegetables,Other_Vegetables,Fruits,Milk,Meats,Soy,Drybeans_Peas,Oils,Solid_Fats,Added_Sugars,Alcohol,Calories,Saturated_Fats,
53510100,Fruit-filled Danish pastry,2,1.00000,Toaster Strudel,1.00000,0.50000,0.50000,1.07696,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12349,0.00000,0.00000,0.00000,0.00000,0.00000,83.33667,44.99416,0.00000,196.63000,2.57580,
53511000,Cheese Danish pastry,1,1.00000,"medium (5"" across)",1.00000,0.50000,0.50000,2.74512,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00423,211.64976,29.58228,0.00000,418.88000,7.60480,
53511000,Cheese Danish pastry,2,1.00000,"large (7"" across)",1.00000,0.50000,0.50000,4.14219,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00638,319.36437,44.63755,0.00000,632.06000,11.47510,
53511000,Cheese Danish pastry,2,1.00000,"small (3"" across)",1.00000,0.50000,0.50000,1.34805,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00208,103.93515,14.52701,0.00000,205.70000,3.73450,
53511500,Fat-free cheese Danish pastry,1,1.00000,slice,1.00000,0.50000,0.50000,0.75936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00064,0.01216,0.00000,0.00000,0.00000,0.00292,0.48096,41.41779,0.00000,94.72000,0.06400,
53520110,Cake doughnut,1,1.00000,"medium (3-1/4"" across)",1.00000,0.50000,0.50000,1.00627,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,93.89331,38.73166,0.00000,197.87000,1.70140,
53520110,Cake doughnut,2,1.00000,"large (3-5/8"" across)",1.00000,0.50000,0.50000,1.24178,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,115.86834,47.79651,0.00000,244.18000,2.09960,
53520110,Cake doughnut,2,1.00000,"twist (4-1/2"" long)",1.00000,0.50000,0.50000,1.11332,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,103.88196,42.85205,0.00000,218.92000,1.88240,
53520110,Cake doughnut,2,1.00000,doughnut hole,1.00000,1.00000,1.00000,0.29974,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,27.96822,11.53709,0.00000,58.94000,0.50680,
53520110,Cake doughnut,2,1.00000,"small (2-1/2"" across)",1.00000,0.50000,0.50000,0.53525,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,49.94325,20.60195,0.00000,105.25000,0.90500,
53520140,Cake doughnut  frosted,1,1.00000,"medium(3-1/4"" across)",1.00000,0.50000,0.50000,1.02025,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02438,0.00000,0.00000,145.37052,45.33875,0.00000,251.22000,4.29830,
